experiment,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,mcc,validation_macro_f1,generalization_gap,macro_f1_change_vs_B0
B0 Standard ResNet50,0.5840535266239197,0.6465018743963438,0.5716039641532862,0.5665493977565407,,0.5716039641532862,0.505872681780728,0.9486640937887625,0.3821146960322218,0.0
B1 Aggressive Augmentation,0.5344298856983551,0.5956536218489846,0.5113885544924743,0.511597759585004,0.5405080368819314,0.5113885544924743,0.44916957525876694,0.9401689646178596,0.4285712050328556,-0.0549516381715367
B2 Unconditional CORAL,0.5667688876498467,0.6249370180029107,0.5450929585183095,0.5376394468921782,0.5645550833703276,0.5450929585183095,0.48216939943637777,0.9410173228766606,0.4033778759844824,-0.028909950864362433
B3a Balanced Sampling,0.5439085586841371,0.6204524153068043,0.5368436196088876,0.5341580140256864,0.5548592002559621,0.5368436196088876,0.4660310778334406,0.9426031596215201,0.40844514559583367,-0.03239138373085426
B3b Class-Conditional CORAL,0.594647337608029,0.6072225596137512,0.5708526809901919,0.5663817027009564,0.5949975589592179,0.5708526809901919,0.5116117421993057,0.9396805724840527,0.37329886978309623,-0.00016769505558422715
