model,experiment_key,experiment,target_dataset,seed,source_train_images,source_validation_images,target_test_images,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,mcc,best_validation_epoch,best_validation_macro_f1,generalization_gap,balanced_sampling,use_ccoral,alignment_type,augmentation_policy,memory_bank_size,memory_bank_minimum,coral_weight,training_minutes
ResNet50,B3b,B3b Memory-Bank Class-Conditional CORAL,realwaste,42,8442,1492,3587,0.5623083356565375,0.6219238281241225,0.549091598938794,0.5258879341503223,0.5528423127807226,0.549091598938794,0.4850815209563977,20,0.9446555382377485,0.4187676040874262,True,True,memory_ccoral,standard,64,32,0.1,35.772641344865164
ResNet50,B3b,B3b Memory-Bank Class-Conditional CORAL,realwaste,123,8442,1492,3587,0.5921382771117926,0.6190208346512587,0.5773077017041702,0.5717488731323899,0.5927451728566547,0.5773077017041702,0.5108301523142924,19,0.9462316850341379,0.37448281190174804,True,True,memory_ccoral,standard,64,32,0.1,35.7848712404569
ResNet50,B3b,B3b Memory-Bank Class-Conditional CORAL,realwaste,2026,8442,1492,3587,0.5581265681628101,0.6035728444647952,0.5419755774493487,0.5323783482698744,0.5558748604144537,0.5419755774493487,0.4697573897051101,19,0.9429422109108989,0.4105638626410245,True,True,memory_ccoral,standard,64,32,0.1,35.65468110640844
ResNet50,B3b,B3b Memory-Bank Class-Conditional CORAL,realwaste,3407,8442,1492,3587,0.5687203791469194,0.6257146887298547,0.5628257114373555,0.548641720916054,0.5700358026840846,0.5628257114373555,0.49025034556391894,17,0.9453227222220049,0.39668100130595085,True,True,memory_ccoral,standard,64,32,0.1,35.195709665616356
ResNet50,B3b,B3b Memory-Bank Class-Conditional CORAL,realwaste,5891,8442,1492,3587,0.5539448006690828,0.6260482334225576,0.5343261872806889,0.5175354207833475,0.5427946808587649,0.5343261872806889,0.46998566428601973,20,0.9468496898567048,0.42931426907335735,True,True,memory_ccoral,standard,64,32,0.1,35.05639858643214
