model,experiment_key,experiment,target_dataset,seed,source_train_images,source_validation_images,target_test_images,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,mcc,best_validation_epoch,best_validation_macro_f1,generalization_gap,balanced_sampling,use_ccoral,alignment_type,augmentation_policy,memory_bank_size,memory_bank_minimum,coral_weight,training_minutes
ResNet50,B0,B0 Standard ResNet50,realwaste,42,8442,1492,3587,0.5564538611653193,0.5980866473612486,0.5356207338328739,0.5222099586339737,0.5533309439318471,0.5356207338328739,0.4724086845270558,12,0.9439891497343073,0.4217791911003336,False,False,none,standard,,,0.0,33.80429414908091
ResNet50,B0,B0 Standard ResNet50,realwaste,123,8442,1492,3587,0.5734597156398105,0.5988336201146529,0.5523313464985785,0.5428282853095003,0.5668669767103391,0.5523313464985785,0.4869866175603818,19,0.9458299396420822,0.40300165433258184,False,False,none,standard,,,0.0,37.87750609318415
ResNet50,B0,B0 Standard ResNet50,realwaste,2026,8442,1492,3587,0.547253972679119,0.6131447975204884,0.5238314425659509,0.5229803721113649,0.5482626059771918,0.5238314425659509,0.45652605671120294,7,0.9386462254336467,0.4156658533222818,False,False,none,standard,,,0.0,21.96110583146413
ResNet50,B0,B0 Standard ResNet50,realwaste,3407,8442,1492,3587,0.5765263451352105,0.6152349598732664,0.5642383386882979,0.5395151657295202,0.5646225714476092,0.5642383386882979,0.49404995378403255,15,0.9460320678074061,0.40651690207788593,False,False,none,standard,,,0.0,37.83342443704605
ResNet50,B0,B0 Standard ResNet50,realwaste,5891,8442,1492,3587,0.5277390577083915,0.5909952569811645,0.5158396761223851,0.5120801644239222,0.5361312220549652,0.5158396761223851,0.4420405522735243,13,0.9444318446351895,0.43235168021126724,False,False,none,standard,,,0.0,34.15814977089564
