experiment,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc,validation_macro_f1,generalization_gap,macro_f1_change_vs_B0
B0 Standard ResNet50,0.5840535266239197,0.6465018743963438,0.5716039641532862,0.5665493977565407,0.5716039641532862,0.505872681780728,0.9486640937887625,0.3821146960322218,0.0
B1 Domain-Robust Augmentation,0.5344298856983551,0.5956536218489846,0.5113885544924743,0.511597759585004,0.5113885544924743,0.44916957525876694,0.9401689646178596,0.4285712050328556,-0.0549516381715367
B2 CORAL ResNet50,0.5667688876498467,0.6249370180029107,0.5450929585183095,0.5376394468921782,0.5450929585183095,0.48216939943637777,0.9410173228766606,0.4033778759844824,-0.028909950864362433
