model,experiment_key,experiment,target_dataset,seed,source_train_images,source_validation_images,target_test_images,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,mcc,best_validation_epoch,best_validation_macro_f1,generalization_gap,balanced_sampling,use_ccoral,alignment_type,augmentation_policy,memory_bank_size,memory_bank_minimum,coral_weight,training_minutes
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,42,8442,1492,3587,0.5280178422079732,0.5840615343867127,0.5217951260697324,0.5024195108277923,0.5286308449280258,0.5217951260697324,0.4480033218038635,18,0.9499218496955363,0.44750233886774393,False,False,none,robust,,,0.0,70.27328276236852
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,123,8442,1492,3587,0.5692779481460831,0.5766882183856753,0.5323659689603372,0.5308851871034226,0.5632224842638183,0.5323659689603372,0.4762145354657831,17,0.945411963178915,0.4145267760754924,False,False,none,robust,,,0.0,73.9557911435763
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,2026,8442,1492,3587,0.5302481182046278,0.5963202873421468,0.5199166445300343,0.51476536439822,0.5338899717825084,0.5199166445300343,0.4430906622851939,18,0.9478147347766259,0.43304937037840596,False,False,none,robust,,,0.0,72.26044478019078
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,3407,8442,1492,3587,0.5213270142180095,0.5838789572377762,0.5159005925014678,0.4924937371576817,0.5160614895760399,0.5159005925014678,0.4388532312441332,20,0.9447294890049006,0.4522357518472189,False,False,none,robust,,,0.0,71.19921253522237
ResNet50,B1,B1 Domain-Robust Augmentation,realwaste,5891,8442,1492,3587,0.5296905492054642,0.5777054991721206,0.5258821720741093,0.5213121378950488,0.5381035850251152,0.5258821720741093,0.4441356738266328,20,0.9446370104938788,0.42332487259883,False,False,none,robust,,,0.0,70.99505123694738
